Code_x,Description,Code_y
AFF,"Colorado Springs, CO: USAF Academy Airfield",10189
AFK,"Nebraska, NE: Nebraska City Municipal",10190
AFO,"Afton, WY: Afton Municipal",10191
AFP,"Wadesboro, NC: Anson County Jeff Cloud Field",10192
AFU,"Doha, Qatar: Al Udeid Air Base",15968
XJD,"Doha, Qatar: Al Udeid Air Base",15968
XXJ,"Doha, Qatar: Al Udeid Air Base",15968
AFW,"Dallas/Fort Worth, TX: Perot Field Fort Worth Alliance",10194
AFY,"Afyon, Turkey: Afyon Airport",10195
AGA,"Agadir, Morocco: Inezgane",10196
AGB,"Augsburg, Germany: Augsburg Airport",10197
AGC,"Pittsburgh, PA: Allegheny County",10198
AGF,"Agen, France: Agen La Garenne",10199
AGG,"Angoram, Papua New Guinea: Angoram Airport",10200
AGH,"Angelholm/Helsingborg, Sweden: Angelholm",10201
AGK,"Kagua, Papua New Guinea: Kagua Airport",10202
AGL,"Wanigela, Papua New Guinea: Wanigela Airport",10203
AGN,"Angoon, AK: Angoon Seaplane Base",10204
AGP,"Malaga, Spain: Malaga Airport",10205
AGQ,"Agrinion, Greece: Agrinion Airport",10206
AGR,"Agra, India: Agra Airport",10207
AGS,"Augusta, GA: Augusta Regional at Bush Field",10208
AGT,"Ciudad del Este, Paraguay: Guarani International",10209
AGU,"Aguascalientes, Mexico: Aguascalientes International",10210
AGV,"Acarigua, Venezuela: Oswaldo Guevara Mujica",10211
AGX,"Agatti Island, India: Agatti Island Airport",10212
AHA,"Okinawa, Japan: Naha AB",10213
AHB,"Abha, Saudi Arabia: Abha Airport",10214
AHD,"Ardmore, OK: Ardmore Downtown Executive",10215
AHN,"Athens, GA: Athens/Ben Epps",10216
AHO,"Alghero/Sassari, Italy: Alghero",10217
AHS,"Ahuas, Honduras: Auas",10218
AHT,"Amchitka Island, AK: Amchitka",10219
AHU,"Al Hoceima, Morocco: Cherif El Idrissi International",10220
AIA,"Alliance, NE: Alliance Municipal",10221
AIB,"Anita Bay, AK: Anita Bay Airport",10222
AID,"Anderson, IN: Anderson Municipal-Darlington Field",10223
AIK,"Aiken, SC: Aiken Regional",10224
AIN,"Wainwright, AK: Wainwright Airport",10225
AIO,"Atlantic, IA: Atlantic Municipal",16849
AIT,"Aitutaki, Cook Islands: Aitutaki Airport",10226
AIY,"Atlantic City, NJ: Bader Field",10227
AIZ,"Lake of the Ozarks, MO: Lee C Fine Memorial",10228
AJA,"Ajaccio, France: Ajaccio Napoleon Bonaparte",10229
AJF,"Jouf, Saudi Arabia: Al Jouf",10230
AJJ,"Akjoujt, Mauritania: Akjoujt Airport",10231
AJL,"Aizwal, India: Lengpui",10232
AJN,"Anjouan, Comoros: Ouani",10233
AJR,"Arvidsjaur, Sweden: Arvidsjaur Airport",10234
AJU,"Aracaju, Brazil: Santa Maria International",10235
AJY,"Agades, Niger: Mano Dayak",10236
AK1,"Seward Peninsula, AK: Kelly Creek Airstrip",16489
AK2,"Bear Fish Camp, AK: Bear Fish Camp Airport",16490
AK3,"Fairbanks, AK: Gold King Creek",16505
AK4,"Squaw Lake, AK: Squaw Lake Airport",16508
AK5,"Qugruc, AK: Qugruc Airport",16580
AK6,"Gold King 2, AK: Gold King 2 Airport",16581
AK7,"Rampart, AK: Hunter Creek Mine",16584
AK8,"Zips, AK: Zips Airport",16621
AK9,"Tolstoi Bay, AK: Tolstoi Bay Airport",16630
AKB,"Atka, AK: Atka Airport",10237
AKC,"Akron, OH: Akron Fulton International",10238
AKF,"Kufrah, Libya: Kufra",10239
AKH,"Al Kharj, Saudi Arabia: Prince Sultan AB",15949
AKI,"Akiak, AK: Akiak Airport",10241
AKJ,"Asahikawa, Japan: Asahikawa Airport",10242
AKK,"Akhiok, AK: Akhiok Airport",10243
AKL,"Auckland, New Zealand: Auckland International",10244
AKN,"King Salmon, AK: King Salmon Airport",10245
AKO,"Akron, CO: Colorado Plains Regional",10246
AKP,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",10247
AKR,"Akure, Nigeria: Akure Airport",10248
AKS,"Auki, Solomon Islands: Auki Airport",10249
AKT,"Akrotiri, Cyprus: Akrotiri Airport",10250
AKX,"Aktyubinsk, Kazakhstan: Aktyubinsk Airport",10251
AKY,"Sittwe, Burma: Sittwe Airport",10252
AL1,"Albertville, AL: Albertville Regional-Thomas J Brumlik Field",10253
AL2,"Alabaster, AL: Shelby County",10254
AL3,"Huntsville, AL: Huntsville Executive Tom Sharp Jr",10255
AL4,"Andalusia/Opp, AL: South Alabama Regional at Bill Benton Field",16423
AL5,"Demopolis, AL: Demopolis Regional",16455
AL6,"Fairhope, AL: H. L. Sonny Callahan",16497
AL7,"Jasper, AL: Walker County Bevill Field",16669
AL8,"Scottsboro, AL: Scottsboro Municipal Word Field",16737
AL9,"Sylacauga, AL: Merkel Field Sylacauga Municipal",16790
ALA,"Almaty, Kazakhstan: Almaty Airport",10256
ALB,"Albany, NY: Albany International",10257
ALC,"Alicante, Spain: Alicante Airport",10258
